Bin,Count
UDN_BG_A_C_Biorec291064_M_012 & 75,93
UDN_BG_A_C_Biorec291064_M_012 & 76,94
UDN_BG_A_C_Biorec291064_M_012 & 77,89
UDN_BG_A_C_Biorec291064_M_012 & 78,94
UDN_BG_A_C_Biorec291064_M_012 & 79,100
UDN_BG_A_C_Biorec291064_M_012 & 8,10
UDN_BG_A_C_Biorec291064_M_012 & 80,101
UDN_BG_A_C_Biorec291064_M_012 & 81,103
UDN_BG_A_C_Biorec291064_M_012 & 82,99
UDN_BG_A_C_Biorec291064_M_012 & 83,103
UDN_BG_A_C_Biorec291064_M_012 & 84,101
UDN_BG_A_C_Biorec291064_M_012 & 85,102
UDN_BG_A_C_Biorec291064_M_012 & 86,100
UDN_BG_A_C_Biorec291064_M_012 & 87,99
UDN_BG_A_C_Biorec291064_M_012 & 88,97
UDN_BG_A_C_Biorec291064_M_012 & 89,100
UDN_BG_A_C_Biorec291064_M_012 & 9,10
UDN_BG_A_C_Biorec291064_M_012 & 90,98
UDN_BG_A_C_Biorec291064_M_012 & 91,96
UDN_BG_A_C_Biorec291064_M_012 & 92,94
UDN_BG_A_C_Biorec291064_M_012 & 93,94
UDN_BG_A_C_Biorec291064_M_012 & 94,86
UDN_BG_A_C_Biorec291064_M_012 & 95,86
UDN_BG_A_C_Biorec291064_M_012 & 96,86
UDN_BG_A_C_Biorec291064_M_012 & 97,81
UDN_BG_A_C_Biorec291064_M_012 & 98,80
UDN_BG_A_C_Biorec291064_M_012 & 99,77
UDN_BG_A_C_Biorec353658_M_023 & 0,1
UDN_BG_A_C_Biorec353658_M_023 & 1,1
UDN_BG_A_C_Biorec353658_M_023 & 10,12
UDN_BG_A_C_Biorec353658_M_023 & 100,49
UDN_BG_A_C_Biorec353658_M_023 & 101,48
UDN_BG_A_C_Biorec353658_M_023 & 102,48
UDN_BG_A_C_Biorec353658_M_023 & 103,51
UDN_BG_A_C_Biorec353658_M_023 & 104,54
UDN_BG_A_C_Biorec353658_M_023 & 105,56
UDN_BG_A_C_Biorec353658_M_023 & 106,61
UDN_BG_A_C_Biorec353658_M_023 & 107,48
UDN_BG_A_C_Biorec353658_M_023 & 108,48
UDN_BG_A_C_Biorec353658_M_023 & 109,47
UDN_BG_A_C_Biorec353658_M_023 & 11,12
UDN_BG_A_C_Biorec353658_M_023 & 110,35
UDN_BG_A_C_Biorec353658_M_023 & 111,33
UDN_BG_A_C_Biorec353658_M_023 & 112,35
UDN_BG_A_C_Biorec353658_M_023 & 113,33
UDN_BG_A_C_Biorec353658_M_023 & 114,20
UDN_BG_A_C_Biorec353658_M_023 & 115,28
UDN_BG_A_C_Biorec353658_M_023 & 116,21
UDN_BG_A_C_Biorec353658_M_023 & 117,36
UDN_BG_A_C_Biorec353658_M_023 & 12,28
UDN_BG_A_C_Biorec353658_M_023 & 13,36
UDN_BG_A_C_Biorec353658_M_023 & 14,34
UDN_BG_A_C_Biorec353658_M_023 & 15,34
UDN_BG_A_C_Biorec353658_M_023 & 16,34
UDN_BG_A_C_Biorec353658_M_023 & 17,34
UDN_BG_A_C_Biorec353658_M_023 & 18,34
UDN_BG_A_C_Biorec353658_M_023 & 19,37
UDN_BG_A_C_Biorec353658_M_023 & 2,1
UDN_BG_A_C_Biorec353658_M_023 & 20,35
UDN_BG_A_C_Biorec353658_M_023 & 21,34
UDN_BG_A_C_Biorec353658_M_023 & 22,36
UDN_BG_A_C_Biorec353658_M_023 & 23,40
UDN_BG_A_C_Biorec353658_M_023 & 24,41
UDN_BG_A_C_Biorec353658_M_023 & 25,39
UDN_BG_A_C_Biorec353658_M_023 & 26,38
UDN_BG_A_C_Biorec353658_M_023 & 27,37
UDN_BG_A_C_Biorec353658_M_023 & 28,38
UDN_BG_A_C_Biorec353658_M_023 & 29,38
UDN_BG_A_C_Biorec353658_M_023 & 3,1
UDN_BG_A_C_Biorec353658_M_023 & 30,39
UDN_BG_A_C_Biorec353658_M_023 & 31,40
UDN_BG_A_C_Biorec353658_M_023 & 32,40
UDN_BG_A_C_Biorec353658_M_023 & 33,42
UDN_BG_A_C_Biorec353658_M_023 & 34,42
UDN_BG_A_C_Biorec353658_M_023 & 35,41
UDN_BG_A_C_Biorec353658_M_023 & 36,41
UDN_BG_A_C_Biorec353658_M_023 & 37,40
UDN_BG_A_C_Biorec353658_M_023 & 38,37
UDN_BG_A_C_Biorec353658_M_023 & 39,43
UDN_BG_A_C_Biorec353658_M_023 & 4,2
UDN_BG_A_C_Biorec353658_M_023 & 40,48
UDN_BG_A_C_Biorec353658_M_023 & 41,55
UDN_BG_A_C_Biorec353658_M_023 & 42,54
UDN_BG_A_C_Biorec353658_M_023 & 43,52
UDN_BG_A_C_Biorec353658_M_023 & 44,53
UDN_BG_A_C_Biorec353658_M_023 & 45,58
UDN_BG_A_C_Biorec353658_M_023 & 46,75
UDN_BG_A_C_Biorec353658_M_023 & 47,67
UDN_BG_A_C_Biorec353658_M_023 & 48,67
UDN_BG_A_C_Biorec353658_M_023 & 49,64
UDN_BG_A_C_Biorec353658_M_023 & 5,6
UDN_BG_A_C_Biorec353658_M_023 & 50,61
UDN_BG_A_C_Biorec353658_M_023 & 51,62
UDN_BG_A_C_Biorec353658_M_023 & 52,65
UDN_BG_A_C_Biorec353658_M_023 & 53,60
UDN_BG_A_C_Biorec353658_M_023 & 54,61
UDN_BG_A_C_Biorec353658_M_023 & 55,68
UDN_BG_A_C_Biorec353658_M_023 & 56,68
UDN_BG_A_C_Biorec353658_M_023 & 57,74
UDN_BG_A_C_Biorec353658_M_023 & 58,62
UDN_BG_A_C_Biorec353658_M_023 & 59,70
UDN_BG_A_C_Biorec353658_M_023 & 6,8
UDN_BG_A_C_Biorec353658_M_023 & 60,73
UDN_BG_A_C_Biorec353658_M_023 & 61,68
UDN_BG_A_C_Biorec353658_M_023 & 62,84
UDN_BG_A_C_Biorec353658_M_023 & 63,83
UDN_BG_A_C_Biorec353658_M_023 & 64,88
UDN_BG_A_C_Biorec353658_M_023 & 65,87
UDN_BG_A_C_Biorec353658_M_023 & 66,92
UDN_BG_A_C_Biorec353658_M_023 & 67,93
UDN_BG_A_C_Biorec353658_M_023 & 68,94
UDN_BG_A_C_Biorec353658_M_023 & 69,88
UDN_BG_A_C_Biorec353658_M_023 & 7,10
UDN_BG_A_C_Biorec353658_M_023 & 70,98
UDN_BG_A_C_Biorec353658_M_023 & 71,99
UDN_BG_A_C_Biorec353658_M_023 & 72,103
UDN_BG_A_C_Biorec353658_M_023 & 73,101
UDN_BG_A_C_Biorec353658_M_023 & 74,102
UDN_BG_A_C_Biorec353658_M_023 & 75,101
UDN_BG_A_C_Biorec353658_M_023 & 76,99
UDN_BG_A_C_Biorec353658_M_023 & 77,98
UDN_BG_A_C_Biorec353658_M_023 & 78,97
UDN_BG_A_C_Biorec353658_M_023 & 79,94
UDN_BG_A_C_Biorec353658_M_023 & 8,10
UDN_BG_A_C_Biorec353658_M_023 & 80,98
UDN_BG_A_C_Biorec353658_M_023 & 81,98
UDN_BG_A_C_Biorec353658_M_023 & 82,96
UDN_BG_A_C_Biorec353658_M_023 & 83,95
UDN_BG_A_C_Biorec353658_M_023 & 84,94
UDN_BG_A_C_Biorec353658_M_023 & 85,87
UDN_BG_A_C_Biorec353658_M_023 & 86,85
UDN_BG_A_C_Biorec353658_M_023 & 87,86
UDN_BG_A_C_Biorec353658_M_023 & 88,90
UDN_BG_A_C_Biorec353658_M_023 & 89,78
UDN_BG_A_C_Biorec353658_M_023 & 9,12
UDN_BG_A_C_Biorec353658_M_023 & 90,77
UDN_BG_A_C_Biorec353658_M_023 & 91,76
UDN_BG_A_C_Biorec353658_M_023 & 92,76
UDN_BG_A_C_Biorec353658_M_023 & 93,73
UDN_BG_A_C_Biorec353658_M_023 & 94,73
UDN_BG_A_C_Biorec353658_M_023 & 95,70
UDN_BG_A_C_Biorec353658_M_023 & 96,63
UDN_BG_A_C_Biorec353658_M_023 & 97,55
UDN_BG_A_C_Biorec353658_M_023 & 98,52
UDN_BG_A_C_Biorec353658_M_023 & 99,47
UDN_BG_A_C_Mayo001_pool_M_030 & 0,1
UDN_BG_A_C_Mayo001_pool_M_030 & 1,1
UDN_BG_A_C_Mayo001_pool_M_030 & 10,10
UDN_BG_A_C_Mayo001_pool_M_030 & 100,53
UDN_BG_A_C_Mayo001_pool_M_030 & 101,48
UDN_BG_A_C_Mayo001_pool_M_030 & 102,47
UDN_BG_A_C_Mayo001_pool_M_030 & 103,49
UDN_BG_A_C_Mayo001_pool_M_030 & 104,50
UDN_BG_A_C_Mayo001_pool_M_030 & 105,48
UDN_BG_A_C_Mayo001_pool_M_030 & 106,52
UDN_BG_A_C_Mayo001_pool_M_030 & 107,54
UDN_BG_A_C_Mayo001_pool_M_030 & 108,54
UDN_BG_A_C_Mayo001_pool_M_030 & 109,54
UDN_BG_A_C_Mayo001_pool_M_030 & 11,12
UDN_BG_A_C_Mayo001_pool_M_030 & 110,53
UDN_BG_A_C_Mayo001_pool_M_030 & 111,53
UDN_BG_A_C_Mayo001_pool_M_030 & 112,60
UDN_BG_A_C_Mayo001_pool_M_030 & 113,55
UDN_BG_A_C_Mayo001_pool_M_030 & 114,49
UDN_BG_A_C_Mayo001_pool_M_030 & 115,50
UDN_BG_A_C_Mayo001_pool_M_030 & 116,49
UDN_BG_A_C_Mayo001_pool_M_030 & 117,47
UDN_BG_A_C_Mayo001_pool_M_030 & 118,47
UDN_BG_A_C_Mayo001_pool_M_030 & 119,47
UDN_BG_A_C_Mayo001_pool_M_030 & 12,12
UDN_BG_A_C_Mayo001_pool_M_030 & 120,47
UDN_BG_A_C_Mayo001_pool_M_030 & 121,47
UDN_BG_A_C_Mayo001_pool_M_030 & 122,39
UDN_BG_A_C_Mayo001_pool_M_030 & 123,34
UDN_BG_A_C_Mayo001_pool_M_030 & 124,35
UDN_BG_A_C_Mayo001_pool_M_030 & 125,33
UDN_BG_A_C_Mayo001_pool_M_030 & 126,32
UDN_BG_A_C_Mayo001_pool_M_030 & 127,28
UDN_BG_A_C_Mayo001_pool_M_030 & 128,20
UDN_BG_A_C_Mayo001_pool_M_030 & 129,29
UDN_BG_A_C_Mayo001_pool_M_030 & 13,12
UDN_BG_A_C_Mayo001_pool_M_030 & 130,30
UDN_BG_A_C_Mayo001_pool_M_030 & 131,33
UDN_BG_A_C_Mayo001_pool_M_030 & 132,31
UDN_BG_A_C_Mayo001_pool_M_030 & 133,21
UDN_BG_A_C_Mayo001_pool_M_030 & 134,25
UDN_BG_A_C_Mayo001_pool_M_030 & 135,36
UDN_BG_A_C_Mayo001_pool_M_030 & 136,27
UDN_BG_A_C_Mayo001_pool_M_030 & 14,27
UDN_BG_A_C_Mayo001_pool_M_030 & 15,28
UDN_BG_A_C_Mayo001_pool_M_030 & 16,36
UDN_BG_A_C_Mayo001_pool_M_030 & 17,33
UDN_BG_A_C_Mayo001_pool_M_030 & 18,33
UDN_BG_A_C_Mayo001_pool_M_030 & 19,34
UDN_BG_A_C_Mayo001_pool_M_030 & 2,1
UDN_BG_A_C_Mayo001_pool_M_030 & 20,37
UDN_BG_A_C_Mayo001_pool_M_030 & 21,35
UDN_BG_A_C_Mayo001_pool_M_030 & 22,36
UDN_BG_A_C_Mayo001_pool_M_030 & 23,41
UDN_BG_A_C_Mayo001_pool_M_030 & 24,41
UDN_BG_A_C_Mayo001_pool_M_030 & 25,38
UDN_BG_A_C_Mayo001_pool_M_030 & 26,37
UDN_BG_A_C_Mayo001_pool_M_030 & 27,38
UDN_BG_A_C_Mayo001_pool_M_030 & 28,39
UDN_BG_A_C_Mayo001_pool_M_030 & 29,41
UDN_BG_A_C_Mayo001_pool_M_030 & 3,1
UDN_BG_A_C_Mayo001_pool_M_030 & 30,42
UDN_BG_A_C_Mayo001_pool_M_030 & 31,41
UDN_BG_A_C_Mayo001_pool_M_030 & 32,41
UDN_BG_A_C_Mayo001_pool_M_030 & 33,40
UDN_BG_A_C_Mayo001_pool_M_030 & 34,37
UDN_BG_A_C_Mayo001_pool_M_030 & 35,40
UDN_BG_A_C_Mayo001_pool_M_030 & 36,48
UDN_BG_A_C_Mayo001_pool_M_030 & 37,45
UDN_BG_A_C_Mayo001_pool_M_030 & 38,54
UDN_BG_A_C_Mayo001_pool_M_030 & 39,54
UDN_BG_A_C_Mayo001_pool_M_030 & 4,1
UDN_BG_A_C_Mayo001_pool_M_030 & 40,56
UDN_BG_A_C_Mayo001_pool_M_030 & 41,52
UDN_BG_A_C_Mayo001_pool_M_030 & 42,58
UDN_BG_A_C_Mayo001_pool_M_030 & 43,71
UDN_BG_A_C_Mayo001_pool_M_030 & 44,75
UDN_BG_A_C_Mayo001_pool_M_030 & 45,68
UDN_BG_A_C_Mayo001_pool_M_030 & 46,67
UDN_BG_A_C_Mayo001_pool_M_030 & 47,71
UDN_BG_A_C_Mayo001_pool_M_030 & 48,64
UDN_BG_A_C_Mayo001_pool_M_030 & 49,61
UDN_BG_A_C_Mayo001_pool_M_030 & 5,2
UDN_BG_A_C_Mayo001_pool_M_030 & 50,61
UDN_BG_A_C_Mayo001_pool_M_030 & 51,60
UDN_BG_A_C_Mayo001_pool_M_030 & 52,60
UDN_BG_A_C_Mayo001_pool_M_030 & 53,61
UDN_BG_A_C_Mayo001_pool_M_030 & 54,69
UDN_BG_A_C_Mayo001_pool_M_030 & 55,68
UDN_BG_A_C_Mayo001_pool_M_030 & 56,68
UDN_BG_A_C_Mayo001_pool_M_030 & 57,74
UDN_BG_A_C_Mayo001_pool_M_030 & 58,72
UDN_BG_A_C_Mayo001_pool_M_030 & 59,70
UDN_BG_A_C_Mayo001_pool_M_030 & 6,6
UDN_BG_A_C_Mayo001_pool_M_030 & 60,72
UDN_BG_A_C_Mayo001_pool_M_030 & 61,69
UDN_BG_A_C_Mayo001_pool_M_030 & 62,83
UDN_BG_A_C_Mayo001_pool_M_030 & 63,83
UDN_BG_A_C_Mayo001_pool_M_030 & 64,88
UDN_BG_A_C_Mayo001_pool_M_030 & 65,87
UDN_BG_A_C_Mayo001_pool_M_030 & 66,85
UDN_BG_A_C_Mayo001_pool_M_030 & 67,92
UDN_BG_A_C_Mayo001_pool_M_030 & 68,95
UDN_BG_A_C_Mayo001_pool_M_030 & 69,90
UDN_BG_A_C_Mayo001_pool_M_030 & 7,8
UDN_BG_A_C_Mayo001_pool_M_030 & 70,97
UDN_BG_A_C_Mayo001_pool_M_030 & 71,98
UDN_BG_A_C_Mayo001_pool_M_030 & 72,103
UDN_BG_A_C_Mayo001_pool_M_030 & 73,100
UDN_BG_A_C_Mayo001_pool_M_030 & 74,99
UDN_BG_A_C_Mayo001_pool_M_030 & 75,101
UDN_BG_A_C_Mayo001_pool_M_030 & 76,101
UDN_BG_A_C_Mayo001_pool_M_030 & 77,101
UDN_BG_A_C_Mayo001_pool_M_030 & 78,102
UDN_BG_A_C_Mayo001_pool_M_030 & 79,99
UDN_BG_A_C_Mayo001_pool_M_030 & 8,10
UDN_BG_A_C_Mayo001_pool_M_030 & 80,97
UDN_BG_A_C_Mayo001_pool_M_030 & 81,97
UDN_BG_A_C_Mayo001_pool_M_030 & 82,98
UDN_BG_A_C_Mayo001_pool_M_030 & 83,96
UDN_BG_A_C_Mayo001_pool_M_030 & 84,94
UDN_BG_A_C_Mayo001_pool_M_030 & 85,93
UDN_BG_A_C_Mayo001_pool_M_030 & 86,87
UDN_BG_A_C_Mayo001_pool_M_030 & 87,86
UDN_BG_A_C_Mayo001_pool_M_030 & 88,85
UDN_BG_A_C_Mayo001_pool_M_030 & 89,86
UDN_BG_A_C_Mayo001_pool_M_030 & 9,10
UDN_BG_A_C_Mayo001_pool_M_030 & 90,82
UDN_BG_A_C_Mayo001_pool_M_030 & 91,80
UDN_BG_A_C_Mayo001_pool_M_030 & 92,77
UDN_BG_A_C_Mayo001_pool_M_030 & 93,75
UDN_BG_A_C_Mayo001_pool_M_030 & 94,75
UDN_BG_A_C_Mayo001_pool_M_030 & 95,74
UDN_BG_A_C_Mayo001_pool_M_030 & 96,63
UDN_BG_A_C_Mayo001_pool_M_030 & 97,56
UDN_BG_A_C_Mayo001_pool_M_030 & 98,53
UDN_BG_A_C_Mayo001_pool_M_030 & 99,53
UDN_BG_A_C_Mayo011_pool_M_001 & 0,1
UDN_BG_A_C_Mayo011_pool_M_001 & 1,1
UDN_BG_A_C_Mayo011_pool_M_001 & 10,10
UDN_BG_A_C_Mayo011_pool_M_001 & 100,95
UDN_BG_A_C_Mayo011_pool_M_001 & 101,93
UDN_BG_A_C_Mayo011_pool_M_001 & 102,87
UDN_BG_A_C_Mayo011_pool_M_001 & 103,86
UDN_BG_A_C_Mayo011_pool_M_001 & 104,85
UDN_BG_A_C_Mayo011_pool_M_001 & 105,85
UDN_BG_A_C_Mayo011_pool_M_001 & 106,79
UDN_BG_A_C_Mayo011_pool_M_001 & 107,80
UDN_BG_A_C_Mayo011_pool_M_001 & 108,77
UDN_BG_A_C_Mayo011_pool_M_001 & 109,76
UDN_BG_A_C_Mayo011_pool_M_001 & 11,10
UDN_BG_A_C_Mayo011_pool_M_001 & 110,74
UDN_BG_A_C_Mayo011_pool_M_001 & 111,63
UDN_BG_A_C_Mayo011_pool_M_001 & 112,55
UDN_BG_A_C_Mayo011_pool_M_001 & 113,53
UDN_BG_A_C_Mayo011_pool_M_001 & 114,52
UDN_BG_A_C_Mayo011_pool_M_001 & 115,47
UDN_BG_A_C_Mayo011_pool_M_001 & 116,51
UDN_BG_A_C_Mayo011_pool_M_001 & 117,51
UDN_BG_A_C_Mayo011_pool_M_001 & 118,50
UDN_BG_A_C_Mayo011_pool_M_001 & 119,50
UDN_BG_A_C_Mayo011_pool_M_001 & 12,13
UDN_BG_A_C_Mayo011_pool_M_001 & 120,48
UDN_BG_A_C_Mayo011_pool_M_001 & 121,46
UDN_BG_A_C_Mayo011_pool_M_001 & 122,51
UDN_BG_A_C_Mayo011_pool_M_001 & 123,53
UDN_BG_A_C_Mayo011_pool_M_001 & 124,54
UDN_BG_A_C_Mayo011_pool_M_001 & 125,56
UDN_BG_A_C_Mayo011_pool_M_001 & 126,53
UDN_BG_A_C_Mayo011_pool_M_001 & 127,53
UDN_BG_A_C_Mayo011_pool_M_001 & 128,61
UDN_BG_A_C_Mayo011_pool_M_001 & 129,56
UDN_BG_A_C_Mayo011_pool_M_001 & 13,12
UDN_BG_A_C_Mayo011_pool_M_001 & 130,53
UDN_BG_A_C_Mayo011_pool_M_001 & 131,48
UDN_BG_A_C_Mayo011_pool_M_001 & 132,49
UDN_BG_A_C_Mayo011_pool_M_001 & 133,45
UDN_BG_A_C_Mayo011_pool_M_001 & 134,37
UDN_BG_A_C_Mayo011_pool_M_001 & 135,35
UDN_BG_A_C_Mayo011_pool_M_001 & 136,34
UDN_BG_A_C_Mayo011_pool_M_001 & 137,33
UDN_BG_A_C_Mayo011_pool_M_001 & 138,28
UDN_BG_A_C_Mayo011_pool_M_001 & 139,27
UDN_BG_A_C_Mayo011_pool_M_001 & 14,12
UDN_BG_A_C_Mayo011_pool_M_001 & 140,15
UDN_BG_A_C_Mayo011_pool_M_001 & 141,14
UDN_BG_A_C_Mayo011_pool_M_001 & 142,20
