Bin,Count
UDN_BG_A_C_Mayo003_pool_M_127 & 53,73
UDN_BG_A_C_Mayo003_pool_M_127 & 54,74
UDN_BG_A_C_Mayo003_pool_M_127 & 55,62
UDN_BG_A_C_Mayo003_pool_M_127 & 56,68
UDN_BG_A_C_Mayo003_pool_M_127 & 57,73
UDN_BG_A_C_Mayo003_pool_M_127 & 58,84
UDN_BG_A_C_Mayo003_pool_M_127 & 59,83
UDN_BG_A_C_Mayo003_pool_M_127 & 6,10
UDN_BG_A_C_Mayo003_pool_M_127 & 60,88
UDN_BG_A_C_Mayo003_pool_M_127 & 61,90
UDN_BG_A_C_Mayo003_pool_M_127 & 62,90
UDN_BG_A_C_Mayo003_pool_M_127 & 63,92
UDN_BG_A_C_Mayo003_pool_M_127 & 64,94
UDN_BG_A_C_Mayo003_pool_M_127 & 65,88
UDN_BG_A_C_Mayo003_pool_M_127 & 66,93
UDN_BG_A_C_Mayo003_pool_M_127 & 67,100
UDN_BG_A_C_Mayo003_pool_M_127 & 68,96
UDN_BG_A_C_Mayo003_pool_M_127 & 69,102
UDN_BG_A_C_Mayo003_pool_M_127 & 7,10
UDN_BG_A_C_Mayo003_pool_M_127 & 70,103
UDN_BG_A_C_Mayo003_pool_M_127 & 71,102
UDN_BG_A_C_Mayo003_pool_M_127 & 72,102
UDN_BG_A_C_Mayo003_pool_M_127 & 73,98
UDN_BG_A_C_Mayo003_pool_M_127 & 74,97
UDN_BG_A_C_Mayo003_pool_M_127 & 75,97
UDN_BG_A_C_Mayo003_pool_M_127 & 76,99
UDN_BG_A_C_Mayo003_pool_M_127 & 77,98
UDN_BG_A_C_Mayo003_pool_M_127 & 78,96
UDN_BG_A_C_Mayo003_pool_M_127 & 79,96
UDN_BG_A_C_Mayo003_pool_M_127 & 8,12
UDN_BG_A_C_Mayo003_pool_M_127 & 80,95
UDN_BG_A_C_Mayo003_pool_M_127 & 81,94
UDN_BG_A_C_Mayo003_pool_M_127 & 82,93
UDN_BG_A_C_Mayo003_pool_M_127 & 83,86
UDN_BG_A_C_Mayo003_pool_M_127 & 84,86
UDN_BG_A_C_Mayo003_pool_M_127 & 85,86
UDN_BG_A_C_Mayo003_pool_M_127 & 86,82
UDN_BG_A_C_Mayo003_pool_M_127 & 87,80
UDN_BG_A_C_Mayo003_pool_M_127 & 88,76
UDN_BG_A_C_Mayo003_pool_M_127 & 89,73
UDN_BG_A_C_Mayo003_pool_M_127 & 9,12
UDN_BG_A_C_Mayo003_pool_M_127 & 90,74
UDN_BG_A_C_Mayo003_pool_M_127 & 91,63
UDN_BG_A_C_Mayo003_pool_M_127 & 92,61
UDN_BG_A_C_Mayo003_pool_M_127 & 93,56
UDN_BG_A_C_Mayo003_pool_M_127 & 94,53
UDN_BG_A_C_Mayo003_pool_M_127 & 95,48
UDN_BG_A_C_Mayo003_pool_M_127 & 96,49
UDN_BG_A_C_Mayo003_pool_M_127 & 97,50
UDN_BG_A_C_Mayo003_pool_M_127 & 98,49
UDN_BG_A_C_Mayo003_pool_M_127 & 99,50
UDN_BG_A_C_Mayo021_pool_M_130 & 0,1
UDN_BG_A_C_Mayo021_pool_M_130 & 1,1
UDN_BG_A_C_Mayo021_pool_M_130 & 10,34
UDN_BG_A_C_Mayo021_pool_M_130 & 100,47
UDN_BG_A_C_Mayo021_pool_M_130 & 101,35
UDN_BG_A_C_Mayo021_pool_M_130 & 102,33
UDN_BG_A_C_Mayo021_pool_M_130 & 103,29
UDN_BG_A_C_Mayo021_pool_M_130 & 104,28
UDN_BG_A_C_Mayo021_pool_M_130 & 105,33
UDN_BG_A_C_Mayo021_pool_M_130 & 106,21
UDN_BG_A_C_Mayo021_pool_M_130 & 11,34
UDN_BG_A_C_Mayo021_pool_M_130 & 12,38
UDN_BG_A_C_Mayo021_pool_M_130 & 13,36
UDN_BG_A_C_Mayo021_pool_M_130 & 14,35
UDN_BG_A_C_Mayo021_pool_M_130 & 15,36
UDN_BG_A_C_Mayo021_pool_M_130 & 16,41
UDN_BG_A_C_Mayo021_pool_M_130 & 17,39
UDN_BG_A_C_Mayo021_pool_M_130 & 18,39
UDN_BG_A_C_Mayo021_pool_M_130 & 19,37
UDN_BG_A_C_Mayo021_pool_M_130 & 2,6
UDN_BG_A_C_Mayo021_pool_M_130 & 20,38
UDN_BG_A_C_Mayo021_pool_M_130 & 21,38
UDN_BG_A_C_Mayo021_pool_M_130 & 22,39
UDN_BG_A_C_Mayo021_pool_M_130 & 23,42
UDN_BG_A_C_Mayo021_pool_M_130 & 24,41
UDN_BG_A_C_Mayo021_pool_M_130 & 25,41
UDN_BG_A_C_Mayo021_pool_M_130 & 26,41
UDN_BG_A_C_Mayo021_pool_M_130 & 27,42
UDN_BG_A_C_Mayo021_pool_M_130 & 28,37
UDN_BG_A_C_Mayo021_pool_M_130 & 29,40
UDN_BG_A_C_Mayo021_pool_M_130 & 3,9
UDN_BG_A_C_Mayo021_pool_M_130 & 30,48
UDN_BG_A_C_Mayo021_pool_M_130 & 31,55
UDN_BG_A_C_Mayo021_pool_M_130 & 32,55
UDN_BG_A_C_Mayo021_pool_M_130 & 33,53
UDN_BG_A_C_Mayo021_pool_M_130 & 34,52
UDN_BG_A_C_Mayo021_pool_M_130 & 35,53
UDN_BG_A_C_Mayo021_pool_M_130 & 36,52
UDN_BG_A_C_Mayo021_pool_M_130 & 37,58
UDN_BG_A_C_Mayo021_pool_M_130 & 38,75
UDN_BG_A_C_Mayo021_pool_M_130 & 39,67
UDN_BG_A_C_Mayo021_pool_M_130 & 4,10
UDN_BG_A_C_Mayo021_pool_M_130 & 40,68
UDN_BG_A_C_Mayo021_pool_M_130 & 41,65
UDN_BG_A_C_Mayo021_pool_M_130 & 42,61
UDN_BG_A_C_Mayo021_pool_M_130 & 43,61
UDN_BG_A_C_Mayo021_pool_M_130 & 44,65
UDN_BG_A_C_Mayo021_pool_M_130 & 45,61
UDN_BG_A_C_Mayo021_pool_M_130 & 46,57
UDN_BG_A_C_Mayo021_pool_M_130 & 47,60
UDN_BG_A_C_Mayo021_pool_M_130 & 48,61
UDN_BG_A_C_Mayo021_pool_M_130 & 49,68
UDN_BG_A_C_Mayo021_pool_M_130 & 5,12
UDN_BG_A_C_Mayo021_pool_M_130 & 50,69
UDN_BG_A_C_Mayo021_pool_M_130 & 51,68
UDN_BG_A_C_Mayo021_pool_M_130 & 52,62
UDN_BG_A_C_Mayo021_pool_M_130 & 53,68
UDN_BG_A_C_Mayo021_pool_M_130 & 54,73
UDN_BG_A_C_Mayo021_pool_M_130 & 55,77
UDN_BG_A_C_Mayo021_pool_M_130 & 56,69
UDN_BG_A_C_Mayo021_pool_M_130 & 57,84
UDN_BG_A_C_Mayo021_pool_M_130 & 58,83
UDN_BG_A_C_Mayo021_pool_M_130 & 59,88
UDN_BG_A_C_Mayo021_pool_M_130 & 6,12
UDN_BG_A_C_Mayo021_pool_M_130 & 60,88
UDN_BG_A_C_Mayo021_pool_M_130 & 61,92
UDN_BG_A_C_Mayo021_pool_M_130 & 62,93
UDN_BG_A_C_Mayo021_pool_M_130 & 63,93
UDN_BG_A_C_Mayo021_pool_M_130 & 64,88
UDN_BG_A_C_Mayo021_pool_M_130 & 65,97
UDN_BG_A_C_Mayo021_pool_M_130 & 66,99
UDN_BG_A_C_Mayo021_pool_M_130 & 67,102
UDN_BG_A_C_Mayo021_pool_M_130 & 68,103
UDN_BG_A_C_Mayo021_pool_M_130 & 69,102
UDN_BG_A_C_Mayo021_pool_M_130 & 7,12
UDN_BG_A_C_Mayo021_pool_M_130 & 70,102
UDN_BG_A_C_Mayo021_pool_M_130 & 71,98
UDN_BG_A_C_Mayo021_pool_M_130 & 72,97
UDN_BG_A_C_Mayo021_pool_M_130 & 73,94
UDN_BG_A_C_Mayo021_pool_M_130 & 74,98
UDN_BG_A_C_Mayo021_pool_M_130 & 75,98
UDN_BG_A_C_Mayo021_pool_M_130 & 76,96
UDN_BG_A_C_Mayo021_pool_M_130 & 77,96
UDN_BG_A_C_Mayo021_pool_M_130 & 78,95
UDN_BG_A_C_Mayo021_pool_M_130 & 79,93
UDN_BG_A_C_Mayo021_pool_M_130 & 8,28
UDN_BG_A_C_Mayo021_pool_M_130 & 80,85
UDN_BG_A_C_Mayo021_pool_M_130 & 81,86
UDN_BG_A_C_Mayo021_pool_M_130 & 82,81
UDN_BG_A_C_Mayo021_pool_M_130 & 83,80
UDN_BG_A_C_Mayo021_pool_M_130 & 84,76
UDN_BG_A_C_Mayo021_pool_M_130 & 85,76
UDN_BG_A_C_Mayo021_pool_M_130 & 86,73
UDN_BG_A_C_Mayo021_pool_M_130 & 87,74
UDN_BG_A_C_Mayo021_pool_M_130 & 88,64
UDN_BG_A_C_Mayo021_pool_M_130 & 89,53
UDN_BG_A_C_Mayo021_pool_M_130 & 9,36
UDN_BG_A_C_Mayo021_pool_M_130 & 90,51
UDN_BG_A_C_Mayo021_pool_M_130 & 91,49
UDN_BG_A_C_Mayo021_pool_M_130 & 92,47
UDN_BG_A_C_Mayo021_pool_M_130 & 93,51
UDN_BG_A_C_Mayo021_pool_M_130 & 94,54
UDN_BG_A_C_Mayo021_pool_M_130 & 95,56
UDN_BG_A_C_Mayo021_pool_M_130 & 96,53
UDN_BG_A_C_Mayo021_pool_M_130 & 97,53
UDN_BG_A_C_Mayo021_pool_M_130 & 98,61
UDN_BG_A_C_Mayo021_pool_M_130 & 99,48
UDN_BG_A_C_Mayo023_pool_M_137 & 0,1
UDN_BG_A_C_Mayo023_pool_M_137 & 1,1
UDN_BG_A_C_Mayo023_pool_M_137 & 10,36
UDN_BG_A_C_Mayo023_pool_M_137 & 100,24
UDN_BG_A_C_Mayo023_pool_M_137 & 101,29
UDN_BG_A_C_Mayo023_pool_M_137 & 102,28
UDN_BG_A_C_Mayo023_pool_M_137 & 11,34
UDN_BG_A_C_Mayo023_pool_M_137 & 12,33
UDN_BG_A_C_Mayo023_pool_M_137 & 13,35
UDN_BG_A_C_Mayo023_pool_M_137 & 14,34
UDN_BG_A_C_Mayo023_pool_M_137 & 15,38
UDN_BG_A_C_Mayo023_pool_M_137 & 16,36
UDN_BG_A_C_Mayo023_pool_M_137 & 17,36
UDN_BG_A_C_Mayo023_pool_M_137 & 18,41
UDN_BG_A_C_Mayo023_pool_M_137 & 19,39
UDN_BG_A_C_Mayo023_pool_M_137 & 2,2
UDN_BG_A_C_Mayo023_pool_M_137 & 20,39
UDN_BG_A_C_Mayo023_pool_M_137 & 21,38
UDN_BG_A_C_Mayo023_pool_M_137 & 22,37
UDN_BG_A_C_Mayo023_pool_M_137 & 23,38
UDN_BG_A_C_Mayo023_pool_M_137 & 24,39
UDN_BG_A_C_Mayo023_pool_M_137 & 25,40
UDN_BG_A_C_Mayo023_pool_M_137 & 26,41
UDN_BG_A_C_Mayo023_pool_M_137 & 27,41
UDN_BG_A_C_Mayo023_pool_M_137 & 28,41
UDN_BG_A_C_Mayo023_pool_M_137 & 29,40
UDN_BG_A_C_Mayo023_pool_M_137 & 3,9
UDN_BG_A_C_Mayo023_pool_M_137 & 30,37
UDN_BG_A_C_Mayo023_pool_M_137 & 31,48
UDN_BG_A_C_Mayo023_pool_M_137 & 32,55
UDN_BG_A_C_Mayo023_pool_M_137 & 33,54
UDN_BG_A_C_Mayo023_pool_M_137 & 34,54
UDN_BG_A_C_Mayo023_pool_M_137 & 35,52
UDN_BG_A_C_Mayo023_pool_M_137 & 36,53
UDN_BG_A_C_Mayo023_pool_M_137 & 37,58
UDN_BG_A_C_Mayo023_pool_M_137 & 38,70
UDN_BG_A_C_Mayo023_pool_M_137 & 39,75
UDN_BG_A_C_Mayo023_pool_M_137 & 4,10
UDN_BG_A_C_Mayo023_pool_M_137 & 40,67
UDN_BG_A_C_Mayo023_pool_M_137 & 41,68
UDN_BG_A_C_Mayo023_pool_M_137 & 42,67
UDN_BG_A_C_Mayo023_pool_M_137 & 43,64
UDN_BG_A_C_Mayo023_pool_M_137 & 44,61
UDN_BG_A_C_Mayo023_pool_M_137 & 45,62
UDN_BG_A_C_Mayo023_pool_M_137 & 46,61
UDN_BG_A_C_Mayo023_pool_M_137 & 47,60
UDN_BG_A_C_Mayo023_pool_M_137 & 48,61
UDN_BG_A_C_Mayo023_pool_M_137 & 49,68
UDN_BG_A_C_Mayo023_pool_M_137 & 5,10
UDN_BG_A_C_Mayo023_pool_M_137 & 50,68
UDN_BG_A_C_Mayo023_pool_M_137 & 51,64
UDN_BG_A_C_Mayo023_pool_M_137 & 52,68
UDN_BG_A_C_Mayo023_pool_M_137 & 53,73
UDN_BG_A_C_Mayo023_pool_M_137 & 54,77
UDN_BG_A_C_Mayo023_pool_M_137 & 55,69
UDN_BG_A_C_Mayo023_pool_M_137 & 56,84
UDN_BG_A_C_Mayo023_pool_M_137 & 57,83
UDN_BG_A_C_Mayo023_pool_M_137 & 58,86
UDN_BG_A_C_Mayo023_pool_M_137 & 59,92
UDN_BG_A_C_Mayo023_pool_M_137 & 6,12
UDN_BG_A_C_Mayo023_pool_M_137 & 60,93
UDN_BG_A_C_Mayo023_pool_M_137 & 61,93
UDN_BG_A_C_Mayo023_pool_M_137 & 62,88
UDN_BG_A_C_Mayo023_pool_M_137 & 63,92
UDN_BG_A_C_Mayo023_pool_M_137 & 64,99
UDN_BG_A_C_Mayo023_pool_M_137 & 65,99
UDN_BG_A_C_Mayo023_pool_M_137 & 66,102
UDN_BG_A_C_Mayo023_pool_M_137 & 67,102
UDN_BG_A_C_Mayo023_pool_M_137 & 68,101
UDN_BG_A_C_Mayo023_pool_M_137 & 69,102
UDN_BG_A_C_Mayo023_pool_M_137 & 7,12
UDN_BG_A_C_Mayo023_pool_M_137 & 70,102
UDN_BG_A_C_Mayo023_pool_M_137 & 71,97
UDN_BG_A_C_Mayo023_pool_M_137 & 72,94
UDN_BG_A_C_Mayo023_pool_M_137 & 73,96
UDN_BG_A_C_Mayo023_pool_M_137 & 74,96
UDN_BG_A_C_Mayo023_pool_M_137 & 75,94
UDN_BG_A_C_Mayo023_pool_M_137 & 76,94
UDN_BG_A_C_Mayo023_pool_M_137 & 77,87
UDN_BG_A_C_Mayo023_pool_M_137 & 78,86
UDN_BG_A_C_Mayo023_pool_M_137 & 79,87
UDN_BG_A_C_Mayo023_pool_M_137 & 8,12
UDN_BG_A_C_Mayo023_pool_M_137 & 80,81
UDN_BG_A_C_Mayo023_pool_M_137 & 81,80
UDN_BG_A_C_Mayo023_pool_M_137 & 82,75
UDN_BG_A_C_Mayo023_pool_M_137 & 83,76
UDN_BG_A_C_Mayo023_pool_M_137 & 84,74
UDN_BG_A_C_Mayo023_pool_M_137 & 85,74
UDN_BG_A_C_Mayo023_pool_M_137 & 86,62
UDN_BG_A_C_Mayo023_pool_M_137 & 87,52
UDN_BG_A_C_Mayo023_pool_M_137 & 88,51
UDN_BG_A_C_Mayo023_pool_M_137 & 89,49
UDN_BG_A_C_Mayo023_pool_M_137 & 9,28
UDN_BG_A_C_Mayo023_pool_M_137 & 90,47
UDN_BG_A_C_Mayo023_pool_M_137 & 91,51
UDN_BG_A_C_Mayo023_pool_M_137 & 92,54
UDN_BG_A_C_Mayo023_pool_M_137 & 93,56
UDN_BG_A_C_Mayo023_pool_M_137 & 94,53
UDN_BG_A_C_Mayo023_pool_M_137 & 95,53
UDN_BG_A_C_Mayo023_pool_M_137 & 96,61
UDN_BG_A_C_Mayo023_pool_M_137 & 97,49
UDN_BG_A_C_Mayo023_pool_M_137 & 98,35
UDN_BG_A_C_Mayo023_pool_M_137 & 99,33
UDN_BG_A_C_Mayo029_pool_M_122 & 0,1
UDN_BG_A_C_Mayo029_pool_M_122 & 1,1
UDN_BG_A_C_Mayo029_pool_M_122 & 10,26
UDN_BG_A_C_Mayo029_pool_M_122 & 100,49
UDN_BG_A_C_Mayo029_pool_M_122 & 101,35
UDN_BG_A_C_Mayo029_pool_M_122 & 102,33
UDN_BG_A_C_Mayo029_pool_M_122 & 103,29
UDN_BG_A_C_Mayo029_pool_M_122 & 11,29
UDN_BG_A_C_Mayo029_pool_M_122 & 12,34
UDN_BG_A_C_Mayo029_pool_M_122 & 13,33
UDN_BG_A_C_Mayo029_pool_M_122 & 14,34
UDN_BG_A_C_Mayo029_pool_M_122 & 15,37
UDN_BG_A_C_Mayo029_pool_M_122 & 16,36
UDN_BG_A_C_Mayo029_pool_M_122 & 17,36
UDN_BG_A_C_Mayo029_pool_M_122 & 18,41
UDN_BG_A_C_Mayo029_pool_M_122 & 19,39
UDN_BG_A_C_Mayo029_pool_M_122 & 2,1
UDN_BG_A_C_Mayo029_pool_M_122 & 20,38
UDN_BG_A_C_Mayo029_pool_M_122 & 21,38
UDN_BG_A_C_Mayo029_pool_M_122 & 22,38
UDN_BG_A_C_Mayo029_pool_M_122 & 23,39
UDN_BG_A_C_Mayo029_pool_M_122 & 24,42
UDN_BG_A_C_Mayo029_pool_M_122 & 25,41
UDN_BG_A_C_Mayo029_pool_M_122 & 26,41
UDN_BG_A_C_Mayo029_pool_M_122 & 27,41
UDN_BG_A_C_Mayo029_pool_M_122 & 28,42
UDN_BG_A_C_Mayo029_pool_M_122 & 29,37
UDN_BG_A_C_Mayo029_pool_M_122 & 3,2
UDN_BG_A_C_Mayo029_pool_M_122 & 30,40
UDN_BG_A_C_Mayo029_pool_M_122 & 31,48
UDN_BG_A_C_Mayo029_pool_M_122 & 32,55
UDN_BG_A_C_Mayo029_pool_M_122 & 33,55
UDN_BG_A_C_Mayo029_pool_M_122 & 34,53
UDN_BG_A_C_Mayo029_pool_M_122 & 35,52
UDN_BG_A_C_Mayo029_pool_M_122 & 36,53
UDN_BG_A_C_Mayo029_pool_M_122 & 37,57
UDN_BG_A_C_Mayo029_pool_M_122 & 38,70
UDN_BG_A_C_Mayo029_pool_M_122 & 39,75
UDN_BG_A_C_Mayo029_pool_M_122 & 4,6
UDN_BG_A_C_Mayo029_pool_M_122 & 40,67
UDN_BG_A_C_Mayo029_pool_M_122 & 41,68
UDN_BG_A_C_Mayo029_pool_M_122 & 42,65
UDN_BG_A_C_Mayo029_pool_M_122 & 43,61
UDN_BG_A_C_Mayo029_pool_M_122 & 44,62
UDN_BG_A_C_Mayo029_pool_M_122 & 45,61
UDN_BG_A_C_Mayo029_pool_M_122 & 46,61
UDN_BG_A_C_Mayo029_pool_M_122 & 47,68
UDN_BG_A_C_Mayo029_pool_M_122 & 48,64
UDN_BG_A_C_Mayo029_pool_M_122 & 49,68
UDN_BG_A_C_Mayo029_pool_M_122 & 5,10
UDN_BG_A_C_Mayo029_pool_M_122 & 50,73
UDN_BG_A_C_Mayo029_pool_M_122 & 51,76
UDN_BG_A_C_Mayo029_pool_M_122 & 52,69
UDN_BG_A_C_Mayo029_pool_M_122 & 53,84
UDN_BG_A_C_Mayo029_pool_M_122 & 54,83
UDN_BG_A_C_Mayo029_pool_M_122 & 55,88
UDN_BG_A_C_Mayo029_pool_M_122 & 56,88
UDN_BG_A_C_Mayo029_pool_M_122 & 57,90
UDN_BG_A_C_Mayo029_pool_M_122 & 58,92
UDN_BG_A_C_Mayo029_pool_M_122 & 59,94
UDN_BG_A_C_Mayo029_pool_M_122 & 6,10
UDN_BG_A_C_Mayo029_pool_M_122 & 60,94
UDN_BG_A_C_Mayo029_pool_M_122 & 61,88
UDN_BG_A_C_Mayo029_pool_M_122 & 62,101
UDN_BG_A_C_Mayo029_pool_M_122 & 63,97
UDN_BG_A_C_Mayo029_pool_M_122 & 64,99
UDN_BG_A_C_Mayo029_pool_M_122 & 65,103
UDN_BG_A_C_Mayo029_pool_M_122 & 66,102
UDN_BG_A_C_Mayo029_pool_M_122 & 67,103
UDN_BG_A_C_Mayo029_pool_M_122 & 68,102
UDN_BG_A_C_Mayo029_pool_M_122 & 69,102
UDN_BG_A_C_Mayo029_pool_M_122 & 7,13
UDN_BG_A_C_Mayo029_pool_M_122 & 70,98
UDN_BG_A_C_Mayo029_pool_M_122 & 71,97
UDN_BG_A_C_Mayo029_pool_M_122 & 72,94
UDN_BG_A_C_Mayo029_pool_M_122 & 73,98
UDN_BG_A_C_Mayo029_pool_M_122 & 74,96
UDN_BG_A_C_Mayo029_pool_M_122 & 75,94
UDN_BG_A_C_Mayo029_pool_M_122 & 76,93
UDN_BG_A_C_Mayo029_pool_M_122 & 77,86
UDN_BG_A_C_Mayo029_pool_M_122 & 78,86
UDN_BG_A_C_Mayo029_pool_M_122 & 79,87
UDN_BG_A_C_Mayo029_pool_M_122 & 8,12
UDN_BG_A_C_Mayo029_pool_M_122 & 80,89
UDN_BG_A_C_Mayo029_pool_M_122 & 81,81
UDN_BG_A_C_Mayo029_pool_M_122 & 82,77
UDN_BG_A_C_Mayo029_pool_M_122 & 83,75
UDN_BG_A_C_Mayo029_pool_M_122 & 84,73
UDN_BG_A_C_Mayo029_pool_M_122 & 85,74
UDN_BG_A_C_Mayo029_pool_M_122 & 86,62
UDN_BG_A_C_Mayo029_pool_M_122 & 87,56
UDN_BG_A_C_Mayo029_pool_M_122 & 88,53
UDN_BG_A_C_Mayo029_pool_M_122 & 89,51
UDN_BG_A_C_Mayo029_pool_M_122 & 9,13
UDN_BG_A_C_Mayo029_pool_M_122 & 90,49
UDN_BG_A_C_Mayo029_pool_M_122 & 91,47
UDN_BG_A_C_Mayo029_pool_M_122 & 92,48
UDN_BG_A_C_Mayo029_pool_M_122 & 93,51
UDN_BG_A_C_Mayo029_pool_M_122 & 94,54
UDN_BG_A_C_Mayo029_pool_M_122 & 95,56
UDN_BG_A_C_Mayo029_pool_M_122 & 96,53
UDN_BG_A_C_Mayo029_pool_M_122 & 97,53
UDN_BG_A_C_Mayo029_pool_M_122 & 98,61
UDN_BG_A_C_Mayo029_pool_M_122 & 99,56
UDN_BG_A_C_Mayo032_pool_M_129 & 0,1
UDN_BG_A_C_Mayo032_pool_M_129 & 1,1
UDN_BG_A_C_Mayo032_pool_M_129 & 10,10
UDN_BG_A_C_Mayo032_pool_M_129 & 100,53
UDN_BG_A_C_Mayo032_pool_M_129 & 101,49
UDN_BG_A_C_Mayo032_pool_M_129 & 102,49
UDN_BG_A_C_Mayo032_pool_M_129 & 103,50
UDN_BG_A_C_Mayo032_pool_M_129 & 104,49
UDN_BG_A_C_Mayo032_pool_M_129 & 105,47
UDN_BG_A_C_Mayo032_pool_M_129 & 106,52
UDN_BG_A_C_Mayo032_pool_M_129 & 107,54
UDN_BG_A_C_Mayo032_pool_M_129 & 108,56
UDN_BG_A_C_Mayo032_pool_M_129 & 109,53
UDN_BG_A_C_Mayo032_pool_M_129 & 11,10
UDN_BG_A_C_Mayo032_pool_M_129 & 110,53
UDN_BG_A_C_Mayo032_pool_M_129 & 111,61
UDN_BG_A_C_Mayo032_pool_M_129 & 112,56
UDN_BG_A_C_Mayo032_pool_M_129 & 113,50
UDN_BG_A_C_Mayo032_pool_M_129 & 114,49
UDN_BG_A_C_Mayo032_pool_M_129 & 115,48
UDN_BG_A_C_Mayo032_pool_M_129 & 116,47
UDN_BG_A_C_Mayo032_pool_M_129 & 117,47
UDN_BG_A_C_Mayo032_pool_M_129 & 118,48
UDN_BG_A_C_Mayo032_pool_M_129 & 119,49
UDN_BG_A_C_Mayo032_pool_M_129 & 12,12
UDN_BG_A_C_Mayo032_pool_M_129 & 120,35
UDN_BG_A_C_Mayo032_pool_M_129 & 121,33
UDN_BG_A_C_Mayo032_pool_M_129 & 122,28
UDN_BG_A_C_Mayo032_pool_M_129 & 123,20
UDN_BG_A_C_Mayo032_pool_M_129 & 124,29
UDN_BG_A_C_Mayo032_pool_M_129 & 125,28
UDN_BG_A_C_Mayo032_pool_M_129 & 126,34
UDN_BG_A_C_Mayo032_pool_M_129 & 127,31
UDN_BG_A_C_Mayo032_pool_M_129 & 128,14
UDN_BG_A_C_Mayo032_pool_M_129 & 129,21
UDN_BG_A_C_Mayo032_pool_M_129 & 13,12
UDN_BG_A_C_Mayo032_pool_M_129 & 130,25
UDN_BG_A_C_Mayo032_pool_M_129 & 131,36
UDN_BG_A_C_Mayo032_pool_M_129 & 132,38
UDN_BG_A_C_Mayo032_pool_M_129 & 133,26
UDN_BG_A_C_Mayo032_pool_M_129 & 14,12
UDN_BG_A_C_Mayo032_pool_M_129 & 15,26
UDN_BG_A_C_Mayo032_pool_M_129 & 16,28
UDN_BG_A_C_Mayo032_pool_M_129 & 17,29
UDN_BG_A_C_Mayo032_pool_M_129 & 18,35
UDN_BG_A_C_Mayo032_pool_M_129 & 19,34
UDN_BG_A_C_Mayo032_pool_M_129 & 2,1
UDN_BG_A_C_Mayo032_pool_M_129 & 20,33
UDN_BG_A_C_Mayo032_pool_M_129 & 21,35
UDN_BG_A_C_Mayo032_pool_M_129 & 22,38
UDN_BG_A_C_Mayo032_pool_M_129 & 23,36
UDN_BG_A_C_Mayo032_pool_M_129 & 24,36
UDN_BG_A_C_Mayo032_pool_M_129 & 25,39
UDN_BG_A_C_Mayo032_pool_M_129 & 26,37
UDN_BG_A_C_Mayo032_pool_M_129 & 27,38
UDN_BG_A_C_Mayo032_pool_M_129 & 28,39
UDN_BG_A_C_Mayo032_pool_M_129 & 29,41
UDN_BG_A_C_Mayo032_pool_M_129 & 3,1
UDN_BG_A_C_Mayo032_pool_M_129 & 30,41
UDN_BG_A_C_Mayo032_pool_M_129 & 31,41
UDN_BG_A_C_Mayo032_pool_M_129 & 32,42
UDN_BG_A_C_Mayo032_pool_M_129 & 33,37
UDN_BG_A_C_Mayo032_pool_M_129 & 34,40
UDN_BG_A_C_Mayo032_pool_M_129 & 35,43
UDN_BG_A_C_Mayo032_pool_M_129 & 36,48
UDN_BG_A_C_Mayo032_pool_M_129 & 37,55
UDN_BG_A_C_Mayo032_pool_M_129 & 38,54
UDN_BG_A_C_Mayo032_pool_M_129 & 39,54
UDN_BG_A_C_Mayo032_pool_M_129 & 4,1
UDN_BG_A_C_Mayo032_pool_M_129 & 40,58
UDN_BG_A_C_Mayo032_pool_M_129 & 41,52
UDN_BG_A_C_Mayo032_pool_M_129 & 42,52
UDN_BG_A_C_Mayo032_pool_M_129 & 43,53
UDN_BG_A_C_Mayo032_pool_M_129 & 44,57
UDN_BG_A_C_Mayo032_pool_M_129 & 45,60
UDN_BG_A_C_Mayo032_pool_M_129 & 46,75
UDN_BG_A_C_Mayo032_pool_M_129 & 47,67
UDN_BG_A_C_Mayo032_pool_M_129 & 48,69
UDN_BG_A_C_Mayo032_pool_M_129 & 49,67
UDN_BG_A_C_Mayo032_pool_M_129 & 5,1
UDN_BG_A_C_Mayo032_pool_M_129 & 50,64
UDN_BG_A_C_Mayo032_pool_M_129 & 51,62
UDN_BG_A_C_Mayo032_pool_M_129 & 52,61
UDN_BG_A_C_Mayo032_pool_M_129 & 53,61
UDN_BG_A_C_Mayo032_pool_M_129 & 54,61
UDN_BG_A_C_Mayo032_pool_M_129 & 55,61
UDN_BG_A_C_Mayo032_pool_M_129 & 56,61
UDN_BG_A_C_Mayo032_pool_M_129 & 57,68
UDN_BG_A_C_Mayo032_pool_M_129 & 58,69
UDN_BG_A_C_Mayo032_pool_M_129 & 59,68
UDN_BG_A_C_Mayo032_pool_M_129 & 6,1
UDN_BG_A_C_Mayo032_pool_M_129 & 60,73
UDN_BG_A_C_Mayo032_pool_M_129 & 61,74
UDN_BG_A_C_Mayo032_pool_M_129 & 62,65
UDN_BG_A_C_Mayo032_pool_M_129 & 63,62
UDN_BG_A_C_Mayo032_pool_M_129 & 64,67
UDN_BG_A_C_Mayo032_pool_M_129 & 65,68
UDN_BG_A_C_Mayo032_pool_M_129 & 66,73
UDN_BG_A_C_Mayo032_pool_M_129 & 67,77
UDN_BG_A_C_Mayo032_pool_M_129 & 68,84
UDN_BG_A_C_Mayo032_pool_M_129 & 69,83
