Sample name	Peak Index	Retention Time	Retention Time Ref	Peak Height	Peak Area	Retention index	Retention index Ref	Retention Index Score	Similarity Score	Spectral Similarity Score	Compound Name	Weighted Cosine Correlation	Cosine Correlation	Stein Scott Similarity	Stein Scott Similarity Nist	Pearson Correlation	Spearman Correlation	Kendall Tau Correlation	Euclidean Distance	Manhattan Distance	Jaccard Distance	DWT Correlation	DFT Correlation	Chebyshev Distance	Squared Euclidean Distance	Fidelity Similarity	Matusita Distance	Squared-chord Distance	Harmonic mean Distance	Pearson Chi Squared Distance	Neyman Chi Squared Distance	Probabilistic symmetric X2 Distance	Topsoe Distance	Chernoff Distance	Ruzicka Distance	Roberts Distance	Motyka Distance	Canberra Distance	Canberra Metric	Kulczynski 1 Distance	Lorentzian Distance	Clark Distance	Hellinger Distance	Whittaker index of association Distance	Spectral Contrast Angle	Wave Hedges Distance	Dice Similarity	Inner Product Distance	Divergence Distance	Jensen Differences Distance	Kumar Johnson Distance	Avg (L1, L8) Distance	Vicis Wave Hadges Distance	Vicis-Symmetric X2 1 Distance	Vicis-Symmetric X2 2 Distance	Vicis-Symmetric X2 3 Distance	Max Symmetric Chi Squared Distance	Min Symmetric Chi Squared Distance	Additive Symmetric Chi Squared	Battacharya Distance	Generalized Ochai Index	Gower Distance	Improved Square Root Cosine Similarity	Intersection Similarity	J Divergence	Jensen Shannon Index	K Divergence	VW6	VW5	VW4	VW3	VW2	VW1	Taneja Divergence	Symmetric Chi Squared Distance	Squared Chi Squared Distance	Square Root Cosine Correlation	Sorensen Distance	Minokowski 3 Distance	Minokowski 4 Distance	Kumar Johnson Divergence	Kumar Hassebrook Similarity	Kullback Leibler Divergence	Soergel Distance
UDN_BG_A_C_Biorec291064_M_012	12	7.67556666666667	7.449	2995613.54852295	13829955.240405	758.645248891963	773.45	5.14902554290413e-06	0.0171055996151576	0.985927386885658	[12205373] L-alanine-2,3,3,3-d4 [7.449]	0.873504782812013	0.985927386885658	0.818943290934136	0.839623250720171	0.985765914120971	0.665486471720468	0.586190333749177	0.120658234173504	0.327058482664923	0.0481655143394232	0.907332581063027	0.907978311266234	0.0801404949607398	0.0145584094738682	0.913117918270975	0.416850289022389	0.173764163458049	0.908872768429872	571859423286.713	127237379537.756	0.364508926280511	0.12307311401005	-0.167097780204652	0.28109176035007	0.229446517818791	0.418235379333769	38.4094902706725	0.629663774929058	0.390998106360482	0.320107393290884	5.97474195421733	0.589515332214607	9.97528372128016	0.167962757461986	40.7255308491334	0.975322951462699	0.712300462610168	71.3950828389694	0.0615365570050251	3342368324973840000	0.203599488812831	133827308925691	1.71330363793036e+28	699096802824.274	0.195223929692263	571859423286.713	127237379537.756	699096802824.469	0.0908902519942011	0.163529241332461	0.00536161446991677	0.0540929203332943	0.836470758667538	4.45911881286957	0.0615365570050251	0.0377537601366865	127237379537.756	571859423286.713	0.195223929692263	699096802824.274	1.71330363793036e+28	133827308925691	1.05324314621237	133827308925651	0.182254463140255	0.913117918270976	0.163529241332461	0.10134359760412	0.0945902868901887	3342368324973840000	0.951834485660576	4.14248363554388	0.28109176035007
UDN_BG_A_C_Biorec291064_M_012	12	7.67556666666667	7.729	2995613.54852295	13829955.240405	758.645248891963	786.3	3.52911393992294e-19	7.05498112946758e-07	0.997495498847304	[PNNLMET0041] IS L-alanine d7 [7.729]	0.977000400724335	0.997495498847304	0.909803126658172	0.912610533329774	0.997412996399554	0.831497199595392	0.764222589125928	0.0412995799499312	0.125785252562044	0.00705668220870174	0.987442733242176	0.986904833696106	0.0297089755210019	0.00170565530404076	0.979462317087698	0.202670584507483	0.041075365824605	0.978118587327944	610155524260.475	11480361003.1567	0.087525650688225	0.0292987623772764	-0.226633307313469	0.118342388922347	0.101656599537174	0.468553686859489	24.7964744992565	0.330619659990087	0.134227150580254	0.124945511429805	4.545857764636	0.286619489304565	4.71694697107665	0.0707890849278992	28.4647280870091	0.996459165624178	0.759997830919165	41.3296456326029	0.0146493811886383	2845136022406680000	0.077747114041523	353495977580168	1.82781735379485e+28	621635885263.583	0.048257306049741	610155524260.475	11480361003.1567	621635885263.631	0.0207515139172778	0.062892626281022	0.00167713670082725	0.0402952000609639	0.937107373718978	1.08260895032337	0.0146493811886382	0.012413192583089	11480361003.1567	610155524260.475	0.048257306049741	621635885263.583	1.82781735379485e+28	353495977580168	0.256002856392204	353495977580139	0.0437628253441125	0.979462317087697	0.062892626281022	0.0342083861420234	0.0320207628483722	2845136022406680000	0.992943317791299	0.69541258525594	0.118342388922347
UDN_BG_A_C_Biorec291064_M_012	13	7.7131	7.536	234784.1484375	1232487.34057094	764.414726001076	772.5	0.0264695927940934	0.0895482518560741	0.164706992804087	L-alanine [major]	0.355583454282704	0.164706992804087	0.390032024056725	0.433227176534133	0.0869329243681424	-0.219625866675797	-0.181966608337496	0.74052941817584	1.74583698510039	0.913254615526205	0.317729895524006	0.346015311622695	0.537658534706192	0.548383819183848	0.318988063411335	1.16705778484929	1.36202387317733	0.215744312655995	560818640086679	334543007150.752	3.13702274937602	1.01992028031394	1.33765612454114	0.932147870846866	0.924625443166055	0.0635407537249037	34.584933205622	0.934727924476271	13.7379310344578	1.53309744990069	5.75580803033387	1.65046894740697	32.2979842243571	1.40533538719842	35.4819093570265	0.159642517397574	0.947911826093644	66.2586521641117	0.509960140156969	8.35885565969407e+21	1.14174775990329	2053373382800040	1.31672567839894e+30	561153183093828	1.64242308386866	560818640086679	334543007150.752	561153183093830	1.14260159567064	0.872918492550193	0.0471847833810915	0.0303033862960381	0.127081507449807	35.3974050258208	0.509960140156969	0.576320759839223	334543007150.752	560818640086679	1.64242308386866	561153183093828	1.31672567839894e+30	2053373382800040	8.33939111629822	2053373382800000	1.56851137468801	0.318988063411335	0.872918492550192	0.63010506336731	0.591487996675609	8.35885565969407e+21	0.0867453844737953	6.37956205069672	0.932147870846866
UDN_BG_A_C_Biorec291064_M_012	13	7.7131	7.449	234784.1484375	1232487.34057094	764.414726001076	773.45	0.0107232271964232	0.00110827218526854	0.000356292677425205	[12205373] L-alanine-2,3,3,3-d4 [7.449]	0.0157993738273131	0.000356292677425205	0.0179331199111257	0.0239159871775591	-0.0782692667913335	-0.753816553644115	-0.607280279566353	0.862803851223328	1.9803386127788	0.999822576163279	0.0127514376002643	0.0386565678731323	0.618727772217074	0.744430485685807	0.0161090297528494	1.40277651124272	1.9677819404943	0.0127617244044515	793743744154727	7431357010359.1	3.9489531023822	1.36644126836075	2.55673745197847	0.995060373215967	0.991974579290503	0.00491534680530029	35.8333536338249	0.968469017130403	201.444444433033	1.70372839140382	5.96658276845967	1.98382556717787	36.6362643364078	1.57044003410993	35.9866560263165	0.000354784726174149	0.99986789684881	71.2002198657597	0.683220634180374	1.34365012048184e+22	1.29953319249794	2342476484295030	1.86372731786055e+30	801175101165084	1.97672806697659	793743744154727	7431357010359.1	801175101165086	4.12837530999742	0.990169306389399	0.0535226652102379	0.00171669047240151	0.00983069361060059	61.5961411481903	0.683220634180374	0.685369648195817	7431357010359.1	793743744154727	1.97672806697659	801175101165084	1.86372731786055e+30	2342476484295030	14.7158146528672	2342476484294990	1.9744765511911	0.0161090297528493	0.9901693063894	0.741826004091684	0.697640969202079	1.34365012048184e+22	0.000177423836720738	28.2679028966214	0.995060373215967
UDN_BG_A_C_Biorec291064_M_012	15	8.05715	7.852	828156.401428223	3157350.14775717	817.300745523019	800.8	2.69589117769364e-07	0.00633817683766507	0.971841295733246	[11266] 2-hydroxybutyric acid [7.852]	0.962323890199393	0.971841295733246	0.814376177095869	0.822222788091601	0.967765151104262	0.557457459199133	0.431556751070536	0.0953470371556207	0.302905894042452	0.055291721081096	0.963611117360191	0.971829669071273	0.0733647483115724	0.00909105749435532	0.947027343881488	0.325492415022261	0.105945312237024	0.937921993074693	727053767959.27	24105233802.1282	0.248312027701226	0.0790997463203509	-0.200024105452563	0.263064065992501	0.228686413425334	0.424273526489387	26.2321633949849	0.535350273367039	0.356970061918333	0.29852444202756	4.73406809892397	0.460315787774054	7.42119440404006	0.237873318268757	29.3320223511757	0.971568115546958	0.844671189264507	44.8228015304992	0.0395498731601755	1787525835890820000	0.188135321177012	268685234352874	6.02209851086506e+27	751159001761.25	0.148438961234236	727053767959.27	24105233802.1282	751159001761.398	0.0544273119980347	0.151452947021226	0.00618175293964187	0.0489809761235229	0.848547052978774	2.52565275631733	0.0395498731601754	0.0363147386134283	24105233802.1282	727053767959.27	0.148438961234236	751159001761.25	6.02209851086506e+27	268685234352874	0.591863315919157	268685234352845	0.124156013850613	0.947027343881488	0.151452947021226	0.0802269544023579	0.0763375492771211	1787525835890820000	0.944708278918904	1.47596684172821	0.263064065992501
UDN_BG_A_C_Biorec291064_M_012	19	8.28858333333333	8.139	33862741.3531494	194259138.564428	852.875771782851	820.7	1.05027881610602e-25	4.67028430333077e-09	0.984833188133546	[767] carbonate ion [8.139]	0.982873384828257	0.984833188133546	0.895935822716555	0.925842523084538	0.983532091004384	0.914535666807415	0.822325288505829	0.0559993364684453	0.194777735616773	0.0317652827762428	0.984185104139007	0.985203599764101	0.0415471123397394	0.00313592568490614	0.988821217915885	0.149524460100111	0.0223575641682297	0.9826048748184	2621441535156.14	106561767.225931	0.0695805007264007	0.019347323703878	-0.313585233444602	0.177491991517799	0.168505563965109	0.451305566095807	45.2181223815235	0.370640347389537	0.215793633238089	0.193240311674875	6.08072731796675	0.211459519380092	11.8814418726232	0.174386389283831	52.2440899645251	0.983861029125099	0.904414132241547	73.9504894309343	0.00967366185193908	34924062319360100000	0.118162423978256	1545207391837780	8.87691910225903e+29	2621548096923.31	0.052544343303329	2621441535156.14	106561767.225931	2621548096923.36	0.01124173426067	0.0973888678083866	0.00159653881653093	0.0229367019332111	0.902611132191613	0.32405523539309	0.00967366185193902	0.00977524651891552	106561767.225931	2621441535156.14	0.052544343303329	2621548096923.31	8.87691910225903e+29	1545207391837780	0.0713401469963335	1545207391837730	0.0347902503632003	0.988821217915885	0.0973888678083867	0.0454827660176904	0.0429385880439568	34924062319360100000	0.968234717223757	0.143283513855447	0.177491991517799
UDN_BG_A_C_Biorec291064_M_012	28	9.68978333333333	9.687	10195531.0027466	56089325.303053	952.081169165867	926.7	2.86412921261738e-16	6.08880292986344e-06	0.887772265755627	[PNNLMET0037] IS benzoic acid d5 [9.687]	0.800254891069134	0.887772265755627	0.711788021381739	0.719469710705437	0.882788939654204	0.316575510489741	0.276443101127598	0.210341450073824	0.713716067198189	0.280038512288127	0.834052420270066	0.845640774945205	0.128173794499568	0.0442435256191589	0.826795032511327	0.588565998828803	0.346409934977346	0.792345330600898	377602834945.206	514553416814.801	0.830618677596408	0.263664134724794	-0.196801519673865	0.526006442475815	0.47599141944439	0.321570983200453	49.8638699105456	0.541998585984191	1.1097333162571	0.692988323100364	6.30081000039471	0.83235801789536	32.8309390911167	0.478313903670034	57.5756208187499	0.837183265852847	0.886252664799139	79.400413322148	0.131832067362397	2653980844304740000	0.420944930848879	383127351354854	3.85139848412382e+28	892156251759.531	0.475449295507599	514553416814.801	377602834945.206	892156251760.007	0.190198459282405	0.356858033599095	0.00775778333911075	0.0287268536805103	0.643141966400905	7.41538658249604	0.131832067362397	0.0883829289854312	377602834945.206	514553416814.801	0.475449295507599	892156251759.531	3.85139848412382e+28	383127351354854	1.72201457826161	383127351354796	0.415309338798204	0.826795032511327	0.356858033599095	0.16565361521745	0.151878888503291	2653980844304740000	0.719961487711873	6.88851736845545	0.526006442475815
UDN_BG_A_C_Biorec291064_M_012	31	9.75858333333333	9.751	5274188.20605469	35417953.1964006	955.354579840929	931.4	1.42931758274339e-14	2.33777792179499e-05	0.945454234029935	[PNNLMET0043] IS octanoic acid d15 [9.751]	0.938273487906132	0.945454234029935	0.808932148840677	0.810187767838031	0.938861337894808	0.796910508397285	0.647522219579894	0.106210829036323	0.424227449687745	0.125457054861208	0.946284652784014	0.951789576698703	0.0719865732139651	0.011280740204583	0.947832269100317	0.323010002630515	0.104335461799365	0.923661287758075	79106087833.2942	26841499822.481	0.3053548489677	0.0882758426911128	-0.288545571344973	0.349989807880765	0.324085461809104	0.393943137578064	38.0124790187523	0.447205635514733	0.538437415480654	0.418757834537571	5.40883500288318	0.456805126502243	18.0296666117292	0.331810129769558	44.9877698087082	0.933073256504177	0.921363595114076	58.5109921768287	0.0441379213455564	222664852655320000	0.248107011450855	161808788726107	4.17344597382049e+27	105947587655.575	0.200283975757283	79106087833.2942	26841499822.481	105947587655.775	0.0535777237100885	0.212113724843872	0.004990911172797	0.0253274532211256	0.787886275156128	1.46136958880529	0.0441379213455564	0.0346889155188984	26841499822.481	79106087833.2942	0.200283975757283	105947587655.575	4.17344597382049e+27	161808788726107	0.321204475855765	161808788726062	0.15267742448385	0.947832269100318	0.212113724843872	0.0811852705257236	0.0752376478078234	222664852655320000	0.874542945138791	1.22418045043401	0.349989807880765
UDN_BG_A_C_Biorec291064_M_012	37	10.0275666666667	9.876	269250.343048096	1194737.4001624	968.152441973879	946.7	7.87702856339846e-12	0.000166979970673741	0.768803515427276	ethanolamine	0.839633987295185	0.768803515427276	0.623624512482556	0.77507217924549	0.7519698545664	0.454742463476155	0.373673954177223	0.326609234539584	0.802829727495652	0.416428851049588	0.788388379597486	0.825578272514404	0.233802040253621	0.106673592086533	0.761537335344332	0.690597805753344	0.476925329311333	0.733802422588907	154756467777661	20594309167.0522	1.06479030964437	0.348339871461789	0.144637989702892	0.572870852353194	0.507581998805091	0.299292568126087	49.9073505676418	0.767805393348335	1.34121226685027	0.755794293297355	6.89667219870445	0.976652783041479	26.0919661436088	0.69382829779438	51.7814881182733	0.737031802249241	0.850510764228503	95.1281748327657	0.174169935730895	1.88477159305938e+21	0.518315883874637	1018369852968890	4.16685631576307e+29	154777062086827	0.590495457381123	154756467777661	20594309167.0522	154777062086828	0.272416079162862	0.401414863747827	0.0123512265768562	0.0396352636133282	0.598585136252173	13.6483463225826	0.174169935730895	0.22267756784878	20594309167.0522	154756467777661	0.590495457381123	154777062086827	4.16685631576307e+29	1018369852968890	3.23791664491475	1018369852968840	0.532395154822183	0.761537335344334	0.401414863747827	0.280095126682568	0.263450336148939	1.88477159305938e+21	0.583571148950412	1.47752513019368	0.572870852353194
UDN_BG_A_C_Biorec291064_M_012	38	10.1339	9.941	3596522.58361816	13981608.5676453	973.211637736208	949.79	5.81189789231827e-14	3.77346643605709e-05	0.961505447854136	[753] glycerol [9.941]	0.98182404658612	0.961505447854136	0.922542123993844	0.925234532681998	0.955720741661152	0.90935657400785	0.794928922161615	0.0869334469802658	0.257168285711555	0.0763443125818144	0.976968622942467	0.978259529330497	0.0701168233736885	0.00755742420387067	0.979857316374556	0.200712150232336	0.0402853672508878	0.970699814967411	1369782292927.79	290604413.061044	0.117200740130355	0.0335937889041086	-0.28682696636672	0.227868065788001	0.214983741157999	0.435707928572111	30.1842468351372	0.386977523527399	0.295115453320232	0.253523723309887	5.00565350359662	0.283849844991636	10.0295631427507	0.278366991311301	34.6272118285145	0.960312901585689	0.908566105161319	50.1131339961383	0.0167968944520543	8603840670829320000	0.163642554542622	402166667368350	4.92645479638875e+28	1370072897340.76	0.0843690891071129	1369782292927.79	290604413.061044	1370072897340.85	0.0203483134537456	0.128584142855778	0.0032970293039943	0.0289262397106228	0.871415857144222	0.685217280291158	0.0167968944520543	0.0170843732836902	290604413.061044	1369782292927.79	0.0843690891071129	1370072897340.76	4.92645479638875e+28	402166667368350	0.154507425620735	402166667368315	0.0586003700651777	0.979857316374557	0.128584142855778	0.074985589657631	0.0720447900455078	8603840670829320000	0.923655687418186	0.287780492077779	0.227868065788001
